id,rated,turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply,time_base,time_increment,game_duration_mins,rating_gap,avg_rating,rating_tier,time_control_category,opening_family,is_upset,white_wins,turns_zscore,is_draw
TZJHLljE,False,13,outoftime,white,bourgris,1500.0,a-00,1191,D10,Slav Defense: Exchange Variation,5,15.0,2.0,30.43,309.0,1346.0,Intermediate,Classical,Slav Defense,False,1,-1.460762000637108,0
l1NXvwaE,True,16,resign,black,a-00,1322.0,skinnerua,1261,B00,Nimzowitsch Defense: Kennedy Variation,4,5.0,10.0,12.67,61.0,1292.0,Intermediate,Blitz,Nimzowitsch Defense,True,0,-1.3662528014485882,0
mIICvQHh,True,61,mate,white,ischia,1496.0,a-00,1500,C20,King's Pawn Game: Leonardis Variation,3,5.0,10.0,20.17,-4.0,1498.0,Intermediate,Blitz,King's Pawn Game,True,1,0.05138518637920927,0
kWKvrqYL,True,61,mate,white,daniamurashov,1439.0,adivanov2009,1454,D02,Queen's Pawn Game: Zukertort Variation,3,20.0,0.0,40.0,-15.0,1446.0,Intermediate,Classical,Queen's Pawn Game,True,1,0.05138518637920927,0
9tXo1AUZ,True,95,mate,white,nik221107,1523.0,adivanov2009,1469,C41,Philidor Defense,5,30.0,3.0,64.75,54.0,1496.0,Intermediate,Classical,Philidor Defense,False,1,1.1224894438491007,0
MsoDV9wj,False,5,draw,draw,trelynn17,1250.0,franklin14532,1002,B27,Sicilian Defense: Mongoose Variation,4,10.0,0.0,20.0,248.0,1126.0,Beginner,Rapid,Sicilian Defense,False,0,-1.7127865318064943,1
qwU9rasv,True,33,resign,white,capa_jr,1520.0,daniel_likes_chess,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10,10.0,0.0,20.0,97.0,1472.0,Intermediate,Rapid,Blackmar-Diemer Gambit,False,1,-0.8307006727136425,0
RVN0N3VK,False,9,resign,black,daniel_likes_chess,1413.0,soultego,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,15.0,30.0,34.5,-695.0,1760.0,Advanced,Classical,Nimzowitsch Defense,False,0,-1.5867742662218012,0
dwF3DJHO,True,66,resign,black,ehabfanri,1439.0,daniel_likes_chess,1392,C50,Italian Game: Schilling-Kostic Gambit,6,15.0,0.0,30.0,47.0,1416.0,Intermediate,Classical,Italian Game,True,0,0.20890051836007564,0
afoMwnLg,True,119,mate,white,daniel_likes_chess,1381.0,mirco25,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,10.0,0.0,20.0,172.0,1295.0,Intermediate,Rapid,Scandinavian Defense,False,1,1.8785630373572593,0
HgKLWPsz,False,39,mate,white,daniel_likes_chess,1381.0,anaissac,1272,A00,Van't Kruijs Opening,1,20.0,60.0,79.0,109.0,1326.0,Intermediate,Classical,Van't Kruijs Opening,False,1,-0.6416822743366029,0
Vf5fKWzI,False,38,resign,black,daniel_likes_chess,1381.0,subham777,1867,C02,French Defense: Advance Variation |  Paulsen Attack,9,20.0,60.0,78.0,-486.0,1624.0,Advanced,Classical,French Defense,False,0,-0.6731853407327761,0
HRti5mKv,False,60,resign,black,daniel_likes_chess,1381.0,roman12342005,1936,C00,French Defense: Knight Variation,3,5.0,40.0,50.0,-555.0,1658.0,Advanced,Blitz,French Defense,False,0,0.01988211998303599,0
2fEjSei6,False,31,resign,black,daniel_likes_chess,1381.0,alkhan,1607,C00,French Defense #2,2,8.0,0.0,16.0,-226.0,1494.0,Intermediate,Rapid,French Defense #2,False,0,-0.893706805505989,0
u7i6dOaJ,False,31,mate,white,shivangithegenius,1094.0,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,8,15.0,15.0,37.75,-47.0,1118.0,Beginner,Classical,Four Knights Game,True,1,-0.893706805505989,0
guanvMR5,False,43,resign,black,sureka_akshat,1141.0,shivangithegenius,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,7,15.0,15.0,40.75,47.0,1118.0,Beginner,Classical,Italian Game,True,0,-0.5156700087519097,0
PmpkWkmm,False,52,resign,black,shivangithegenius,1094.0,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,8,15.0,15.0,43.0,-47.0,1118.0,Beginner,Classical,Four Knights Game,False,0,-0.23214241118635023,0
EwaK0IsE,False,66,mate,black,sureka_akshat,1141.0,shivangithegenius,1094,C50,Four Knights Game: Italian Variation,8,15.0,16.0,47.6,47.0,1118.0,Beginner,Classical,Four Knights Game,True,0,0.20890051836007564,0
yrSDozT3,False,101,resign,black,shivangithegenius,1094.0,slam_ment,1300,C41,Philidor Defense #3,5,15.0,15.0,55.25,-206.0,1197.0,Beginner,Classical,Philidor Defense #3,False,0,1.3115078422261404,0
x31mXlvc,False,25,resign,white,g-ios,1500.0,shivangithegenius,1094,D00,Queen's Pawn Game,2,11.0,0.0,22.0,406.0,1297.0,Intermediate,Classical,Queen's Pawn Game,False,1,-1.0827252038830286,0
oQklnWWp,False,14,resign,black,shivangithegenius,1094.0,lex_v1,1676,C55,Italian Game: Anti-Fried Liver Defense,6,15.0,15.0,33.5,-582.0,1385.0,Intermediate,Classical,Italian Game,False,0,-1.4292589342409348,0
QFCZwY1f,False,3,resign,white,shivangithegenius,1094.0,themannichreaction,1068,A40,Horwitz Defense,2,30.0,60.0,63.0,26.0,1081.0,Beginner,Classical,Horwitz Defense,False,1,-1.7757926645988409,0
5cgBygpI,False,17,resign,white,storm28rus,1500.0,shivangithegenius,1094,B20,Sicilian Defense: Bowdler Attack,3,15.0,5.0,31.42,406.0,1297.0,Intermediate,Classical,Sicilian Defense,False,1,-1.334749735052415,0
UhXXBOMY,True,36,resign,white,robotsmoke,1307.0,shivangithegenius,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4,10.0,0.0,20.0,201.0,1206.0,Intermediate,Rapid,English Opening,False,1,-0.7361914735251227,0
